"id";"state_id";"state_code";"name";"no_accents"
1;;"RO";"Alta Floresta D'Oeste";"Alta Floresta D'Oeste"
2;;"RO";"Ariquemes";"Ariquemes"
3;;"RO";"Cabixi";"Cabixi"
4;;"RO";"Cacoal";"Cacoal"
5;;"RO";"Cerejeiras";"Cerejeiras"
6;;"RO";"Colorado do Oeste";"Colorado do Oeste"
7;;"RO";"Corumbiara";"Corumbiara"
8;;"RO";"Costa Marques";"Costa Marques"
9;;"RO";"Espigão D'Oeste";"Espigao D'Oeste"
10;;"RO";"Guajará-Mirim";"Guajara-Mirim"
11;;"RO";"Jaru";"Jaru"
12;;"RO";"Ji-Paraná";"Ji-Parana"
13;;"RO";"Machadinho D'Oeste";"Machadinho D'Oeste"
14;;"RO";"Nova Brasilândia D'Oeste";"Nova Brasilandia D'Oeste"
15;;"RO";"Ouro Preto do Oeste";"Ouro Preto do Oeste"
16;;"RO";"Pimenta Bueno";"Pimenta Bueno"
17;;"RO";"Porto Velho";"Porto Velho"
18;;"RO";"Presidente Médici";"Presidente Medici"
19;;"RO";"Rio Crespo";"Rio Crespo"
20;;"RO";"Rolim de Moura";"Rolim de Moura"
21;;"RO";"Santa Luzia D'Oeste";"Santa Luzia D'Oeste"
22;;"RO";"Vilhena";"Vilhena"
23;;"RO";"São Miguel do Guaporé";"Sao Miguel do Guapore"
24;;"RO";"Nova Mamoré";"Nova Mamore"
25;;"RO";"Alvorada D'Oeste";"Alvorada D'Oeste"
26;;"RO";"Alto Alegre dos Parecis";"Alto Alegre dos Parecis"
27;;"RO";"Alto Paraíso";"Alto Paraiso"
28;;"RO";"Buritis";"Buritis"
29;;"RO";"Novo Horizonte do Oeste";"Novo Horizonte do Oeste"
30;;"RO";"Cacaulândia";"Cacaulandia"
31;;"RO";"Campo Novo de Rondônia";"Campo Novo de Rondonia"
32;;"RO";"Candeias do Jamari";"Candeias do Jamari"
33;;"RO";"Castanheiras";"Castanheiras"
34;;"RO";"Chupinguaia";"Chupinguaia"
35;;"RO";"Cujubim";"Cujubim"
36;;"RO";"Governador Jorge Teixeira";"Governador Jorge Teixeira"
37;;"RO";"Itapuã do Oeste";"Itapua do Oeste"
38;;"RO";"Ministro Andreazza";"Ministro Andreazza"
39;;"RO";"Mirante da Serra";"Mirante da Serra"
40;;"RO";"Monte Negro";"Monte Negro"
41;;"RO";"Nova União";"Nova Uniao"
42;;"RO";"Parecis";"Parecis"
43;;"RO";"Pimenteiras do Oeste";"Pimenteiras do Oeste"
44;;"RO";"Primavera de Rondônia";"Primavera de Rondonia"
45;;"RO";"São Felipe D'Oeste";"Sao Felipe D'Oeste"
46;;"RO";"São Francisco do Guaporé";"Sao Francisco do Guapore"
47;;"RO";"Seringueiras";"Seringueiras"
48;;"RO";"Teixeirópolis";"Teixeiropolis"
49;;"RO";"Theobroma";"Theobroma"
50;;"RO";"Urupá";"Urupa"
51;;"RO";"Vale do Anari";"Vale do Anari"
52;;"RO";"Vale do Paraíso";"Vale do Paraiso"
53;;"AC";"Acrelândia";"Acrelandia"
54;;"AC";"Assis Brasil";"Assis Brasil"
55;;"AC";"Brasiléia";"Brasileia"
56;;"AC";"Bujari";"Bujari"
57;;"AC";"Capixaba";"Capixaba"
58;;"AC";"Cruzeiro do Sul";"Cruzeiro do Sul"
59;;"AC";"Epitaciolândia";"Epitaciolandia"
60;;"AC";"Feijó";"Feijo"
61;;"AC";"Jordão";"Jordao"
62;;"AC";"Mâncio Lima";"Mancio Lima"
63;;"AC";"Manoel Urbano";"Manoel Urbano"
64;;"AC";"Marechal Thaumaturgo";"Marechal Thaumaturgo"
65;;"AC";"Plácido de Castro";"Placido de Castro"
66;;"AC";"Porto Walter";"Porto Walter"
67;;"AC";"Rio Branco";"Rio Branco"
68;;"AC";"Rodrigues Alves";"Rodrigues Alves"
69;;"AC";"Santa Rosa do Purus";"Santa Rosa do Purus"
70;;"AC";"Senador Guiomard";"Senador Guiomard"
71;;"AC";"Sena Madureira";"Sena Madureira"
72;;"AC";"Tarauacá";"Tarauaca"
73;;"AC";"Xapuri";"Xapuri"
74;;"AC";"Porto Acre";"Porto Acre"
75;;"AM";"Alvarães";"Alvaraes"
76;;"AM";"Amaturá";"Amatura"
77;;"AM";"Anamã";"Anama"
78;;"AM";"Anori";"Anori"
79;;"AM";"Apuí";"Apui"
80;;"AM";"Atalaia do Norte";"Atalaia do Norte"
81;;"AM";"Autazes";"Autazes"
82;;"AM";"Barcelos";"Barcelos"
83;;"AM";"Barreirinha";"Barreirinha"
84;;"AM";"Benjamin Constant";"Benjamin Constant"
85;;"AM";"Beruri";"Beruri"
86;;"AM";"Boa Vista do Ramos";"Boa Vista do Ramos"
87;;"AM";"Boca do Acre";"Boca do Acre"
88;;"AM";"Borba";"Borba"
89;;"AM";"Caapiranga";"Caapiranga"
90;;"AM";"Canutama";"Canutama"
91;;"AM";"Carauari";"Carauari"
92;;"AM";"Careiro";"Careiro"
93;;"AM";"Careiro da Várzea";"Careiro da Varzea"
94;;"AM";"Coari";"Coari"
95;;"AM";"Codajás";"Codajas"
96;;"AM";"Eirunepé";"Eirunepe"
97;;"AM";"Envira";"Envira"
98;;"AM";"Fonte Boa";"Fonte Boa"
99;;"AM";"Guajará";"Guajara"
100;;"AM";"Humaitá";"Humaita"
101;;"AM";"Ipixuna";"Ipixuna"
102;;"AM";"Iranduba";"Iranduba"
103;;"AM";"Itacoatiara";"Itacoatiara"
104;;"AM";"Itamarati";"Itamarati"
105;;"AM";"Itapiranga";"Itapiranga"
106;;"AM";"Japurá";"Japura"
107;;"AM";"Juruá";"Jurua"
108;;"AM";"Jutaí";"Jutai"
109;;"AM";"Lábrea";"Labrea"
110;;"AM";"Manacapuru";"Manacapuru"
111;;"AM";"Manaquiri";"Manaquiri"
112;;"AM";"Manaus";"Manaus"
113;;"AM";"Manicoré";"Manicore"
114;;"AM";"Maraã";"Maraa"
115;;"AM";"Maués";"Maues"
116;;"AM";"Nhamundá";"Nhamunda"
117;;"AM";"Nova Olinda do Norte";"Nova Olinda do Norte"
118;;"AM";"Novo Airão";"Novo Airao"
119;;"AM";"Novo Aripuanã";"Novo Aripuana"
120;;"AM";"Parintins";"Parintins"
121;;"AM";"Pauini";"Pauini"
122;;"AM";"Presidente Figueiredo";"Presidente Figueiredo"
123;;"AM";"Rio Preto da Eva";"Rio Preto da Eva"
124;;"AM";"Santa Isabel do Rio Negro";"Santa Isabel do Rio Negro"
125;;"AM";"Santo Antônio do Içá";"Santo Antonio do Ica"
126;;"AM";"São Gabriel da Cachoeira";"Sao Gabriel da Cachoeira"
127;;"AM";"São Paulo de Olivença";"Sao Paulo de Olivenca"
128;;"AM";"São Sebastião do Uatumã";"Sao Sebastiao do Uatuma"
129;;"AM";"Silves";"Silves"
130;;"AM";"Tabatinga";"Tabatinga"
131;;"AM";"Tapauá";"Tapaua"
132;;"AM";"Tefé";"Tefe"
133;;"AM";"Tonantins";"Tonantins"
134;;"AM";"Uarini";"Uarini"
135;;"AM";"Urucará";"Urucara"
136;;"AM";"Urucurituba";"Urucurituba"
137;;"RR";"Amajari";"Amajari"
138;;"RR";"Alto Alegre";"Alto Alegre"
139;;"RR";"Boa Vista";"Boa Vista"
140;;"RR";"Bonfim";"Bonfim"
141;;"RR";"Cantá";"Canta"
142;;"RR";"Caracaraí";"Caracarai"
143;;"RR";"Caroebe";"Caroebe"
144;;"RR";"Iracema";"Iracema"
145;;"RR";"Mucajaí";"Mucajai"
146;;"RR";"Normandia";"Normandia"
147;;"RR";"Pacaraima";"Pacaraima"
148;;"RR";"Rorainópolis";"Rorainopolis"
149;;"RR";"São João da Baliza";"Sao Joao da Baliza"
150;;"RR";"São Luiz";"Sao Luiz"
151;;"RR";"Uiramutã";"Uiramuta"
152;;"PA";"Abaetetuba";"Abaetetuba"
153;;"PA";"Abel Figueiredo";"Abel Figueiredo"
154;;"PA";"Acará";"Acara"
155;;"PA";"Afuá";"Afua"
156;;"PA";"Água Azul do Norte";"Agua Azul do Norte"
157;;"PA";"Alenquer";"Alenquer"
158;;"PA";"Almeirim";"Almeirim"
159;;"PA";"Altamira";"Altamira"
160;;"PA";"Anajás";"Anajas"
161;;"PA";"Ananindeua";"Ananindeua"
162;;"PA";"Anapu";"Anapu"
163;;"PA";"Augusto Corrêa";"Augusto Correa"
164;;"PA";"Aurora do Pará";"Aurora do Para"
165;;"PA";"Aveiro";"Aveiro"
166;;"PA";"Bagre";"Bagre"
167;;"PA";"Baião";"Baiao"
168;;"PA";"Bannach";"Bannach"
169;;"PA";"Barcarena";"Barcarena"
170;;"PA";"Belém";"Belem"
171;;"PA";"Belterra";"Belterra"
172;;"PA";"Benevides";"Benevides"
173;;"PA";"Bom Jesus do Tocantins";"Bom Jesus do Tocantins"
174;;"PA";"Bonito";"Bonito"
175;;"PA";"Bragança";"Braganca"
