1;"AC";"Acre";"America/Rio_Branco"
2;"AL";"Alagoas";"America/Maceio"
3;"AP";"Amapá";"America/Belem"
4;"AM";"Amazonas";
5;"BA";"Bahia";"America/Bahia"
6;"CE";"Ceará";"America/Fortaleza"
7;"DF";"Distrito Federal";"America/Sao_Paulo"
8;"ES";"Espírito Santo";"America/Sao_Paulo"
9;"GO";"Goiás";"America/Sao_Paulo"
10;"MA";"Maranhão";"America/Fortaleza"
11;"MT";"Mato Grosso";"America/Cuiaba"
12;"MS";"Mato Grosso do Sul";"America/Campo_Grande"
13;"MG";"Minas Gerais";"America/Sao_Paulo"
14;"PA";"Pará";
15;"PB";"Paraíba";"America/Fortaleza"
16;"PR";"Paraná";"America/Sao_Paulo"
17;"PE";"Pernambuco";"America/Recife"
18;"PI";"Piauí";"America/Fortaleza"
19;"RJ";"Rio de Janeiro";"America/Sao_Paulo"
20;"RN";"Rio Grande do Norte";"America/Fortaleza"
21;"RS";"Rio Grande do Sul";"America/Sao_Paulo"
22;"RO";"Rondônia";"America/Porto_Velho"
23;"SC";"Santa Catarina";"America/Sao_Paulo"
24;"SP";"São Paulo";"America/Sao_Paulo"
25;"SE";"Sergipe";"America/Maceio"
26;"TO";"Tocantins";"America/Araguaina"
