code,ibge_code,name,timezone
AC,12,Acre,America/Rio_Branco
AL,27,Alagoas,America/Maceio
AP,16,Amapá,America/Belem
AM,13,Amazonas,
BA,29,Bahia,America/Bahia
CE,23,Ceará,America/Fortaleza
DF,53,Distrito Federal,America/Sao_Paulo
ES,32,Espírito Santo,America/Sao_Paulo
GO,52,Goiás,America/Sao_Paulo
MA,21,Maranhão,America/Fortaleza
MT,51,Mato Grosso,America/Cuiaba
MS,50,Mato Grosso do Sul,America/Campo_Grande
MG,31,Minas Gerais,America/Sao_Paulo
PA,15,Pará,
PB,25,Paraíba,America/Fortaleza
PR,41,Paraná,America/Sao_Paulo
PE,26,Pernambuco,America/Recife
PI,22,Piauí,America/Fortaleza
RJ,33,Rio de Janeiro,America/Sao_Paulo
RN,24,Rio Grande do Norte,America/Fortaleza
RS,43,Rio Grande do Sul,America/Sao_Paulo
RO,11,Rondônia,America/Porto_Velho
SC,42,Santa Catarina,America/Sao_Paulo
SP,35,São Paulo,America/Sao_Paulo
SE,28,Sergipe,America/Maceio
TO,17,Tocantins,America/Araguaina
